timestamp,drone_id,x,y,v_x,v_y
0,drone_1,-29.69999999995744,-9.744399454683007e-13,0.9000000001283088,-2.161314847273183e-12
0,drone_2,-8.912733723000231e-13,-29.699999999957456,-2.1890370383292757e-12,0.9000000001283133
3,drone_1,-26.999999999572513,-7.458384487288264e-12,0.999999999850347,9.043595992913062e-12
3,drone_2,-7.458384487288264e-12,-26.999999999572513,9.043595992913062e-12,0.9999999998503463
6,drone_1,-24.000000000021473,1.9672403491452578e-11,0.9999999999998703,8.371325036774054e-13
6,drone_2,1.967240349145175e-11,-24.000000000021473,8.371325036529777e-13,0.9999999999998697
9,drone_1,-21.000000000021863,2.218380100248499e-11,0.999999999997209,2.673099226883093e-12
9,drone_2,2.2183801002410545e-11,-21.000000000021863,2.673099227085856e-12,0.9999999999972091
12,drone_1,-18.000000000030237,3.020309868313417e-11,0.9999999999967673,3.24486917513928e-12
12,drone_2,3.020309868366811e-11,-18.000000000030237,3.2448692185148737e-12,0.9999999999967673
15,drone_1,-15.000000000039934,3.9937706208552214e-11,0.9999999999954706,4.531108538062612e-12
15,drone_2,3.993770633921284e-11,-15.000000000039934,4.531106844782332e-12,0.9999999999954706
18,drone_1,-12.000000000053523,5.353103182274026e-11,0.9999999999928387,7.189015866068244e-12
18,drone_2,5.353102687355973e-11,-12.000000000053523,7.189046130671668e-12,0.999999999992839
21,drone_1,-9.000000000075007,7.509807942094504e-11,0.9999999999854379,1.4388668552652054e-11
21,drone_2,7.509816526557489e-11,-9.000000000075007,1.4388359372061889e-11,0.9999999999854362
24,drone_1,-6.000000000118693,1.182640850789013e-10,0.9999999999473846,5.3707293736075556e-11
24,drone_2,1.1826324338176035e-10,-6.000000000118697,5.366905854767253e-11,0.9999999999473543
27,drone_1,-3.0000000002765392,2.793859662871277e-10,0.9293161338332961,0.07097270021732625
27,drone_2,2.7927041902477786e-10,-3.000000000276634,0.07068386616507018,0.929027299781037
30,drone_1,-0.21205159877665047,0.21291810093136476,1.0706838663365736,-0.07097270038773265
30,drone_2,0.21205159877448093,-0.21291810093352267,-0.07068386633548551,1.0709727003888023
33,drone_1,3.0000000002330705,-2.318332149897334e-10,0.999999999958124,4.1086558866370776e-11
33,drone_2,-2.3197561232928802e-10,3.0000000002328844,4.1139588737012e-11,0.9999999999581971
36,drone_1,6.000000000107443,-1.0857353839062357e-10,0.9999999999850019,1.570768327107182e-11
36,drone_2,-1.0855684611825264e-10,6.000000000107476,1.5700542300797274e-11,0.999999999984989
39,drone_1,9.00000000006245,-6.145048857740769e-11,0.9999999998474483,1.2383182867693336e-11
39,drone_2,-6.145521921586144e-11,9.000000000062442,1.2385037662873171e-11,0.9999999998474509
42,drone_1,11.999999999604794,-2.4300939974329338e-11,0.0,0.0
42,drone_2,-2.4300106227239445e-11,11.999999999604794,0.0,0.0
